ecoregion1,ecoregion2,proportion
Bolivian montane dry forests,Chilean matorral,0
Cauca Valley dry forests,Chilean matorral,0
Cauca Valley montane forests,Chilean matorral,0
Central Andean dry puna,Chilean matorral,0.25
Central Andean puna,Chilean matorral,0.25
Central Andean wet puna,Chilean matorral,0
Cordillera Central paramo,Chilean matorral,0
Cordillera La Costa montane forests,Chilean matorral,0
Cordillera Oriental montane forests,Chilean matorral,0
Cordillera de Merida paramo,Chilean matorral,0
Eastern Cordillera real montane forests,Chilean matorral,0
High Monte,Chilean matorral,0
La Costa xeric shrublands,Chilean matorral,0
Lake,Chilean matorral,0
Lara Falcon dry forests,Chilean matorral,0
Magdalena Valley dry forests,Chilean matorral,0
Magdalena Valley montane forests,Chilean matorral,0
Magellanic subpolar forests,Chilean matorral,0.5
Maranon dry forests,Chilean matorral,0
Northern Andean paramo,Chilean matorral,0
Northwestern Andean montane forests,Chilean matorral,0
Patagonian steppe,Chilean matorral,0.5
Patia Valley dry forests,Chilean matorral,0
Peruvian Yungas,Chilean matorral,0
Rock and Ice,Chilean matorral,0.5
Santa Marta montane forests,Chilean matorral,0
Santa Marta paramo,Chilean matorral,0
Southern Andean Yungas,Chilean matorral,0
Southern Andean steppe,Chilean matorral,0.5
Tumbes Piura dry forests,Chilean matorral,0
Valdivian temperate forests,Chilean matorral,0.5
Venezuelan Andes montane forests,Chilean matorral,0
Araya and Paria xeric scrub,Cordillera Central paramo,0
Atacama desert,Cordillera Central paramo,0
Bolivian Yungas,Cordillera Central paramo,0.333333333
Bolivian montane dry forests,Cordillera Central paramo,0
Cauca Valley dry forests,Cordillera Central paramo,0
Cauca Valley montane forests,Cordillera Central paramo,0
Central Andean dry puna,Cordillera Central paramo,0.2
Central Andean puna,Cordillera Central paramo,0.2
Central Andean wet puna,Cordillera Central paramo,0.333333333
Chilean matorral,Cordillera Central paramo,0
Cordillera La Costa montane forests,Cordillera Central paramo,0
Cordillera Oriental montane forests,Cordillera Central paramo,0
Cordillera de Merida paramo,Cordillera Central paramo,0
Eastern Cordillera real montane forests,Cordillera Central paramo,0.666666667
High Monte,Cordillera Central paramo,0
La Costa xeric shrublands,Cordillera Central paramo,0
Lake,Cordillera Central paramo,0.333333333
Lara Falcon dry forests,Cordillera Central paramo,0
Magdalena Valley dry forests,Cordillera Central paramo,0
Magdalena Valley montane forests,Cordillera Central paramo,0
Magellanic subpolar forests,Cordillera Central paramo,0
Maranon dry forests,Cordillera Central paramo,0.5
Northern Andean paramo,Cordillera Central paramo,0.25
Northwestern Andean montane forests,Cordillera Central paramo,0.333333333
Patagonian steppe,Cordillera Central paramo,0
Patia Valley dry forests,Cordillera Central paramo,0
Peruvian Yungas,Cordillera Central paramo,0.5
Rock and Ice,Cordillera Central paramo,0
Santa Marta montane forests,Cordillera Central paramo,0
Santa Marta paramo,Cordillera Central paramo,0
Southern Andean Yungas,Cordillera Central paramo,0
Southern Andean steppe,Cordillera Central paramo,0
